서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 치료중,서울시 퇴원,서울시 추가 퇴원,서울시 사망,서울시 의심환자 전체,서울시 의심환자 검사중,서울시 의심환자 검사결과(음성),전국 기준일,전국 확진,전국 추가 확진,전국 치료중,전국 퇴원,전국 사망,전국 의심환자 전체,전국 의심환자 검사중,전국 의심환자 검사결과(음성),자가격리자 해외입국자 감시중,자가격리자 해외입국자 감시해제,자가격리자 접촉자 감시중,자가격리자 접촉자 감시해제,확인중 확진자,서울시 당일사망자,전국 당일 사망자
2021.11.04,122789,946,12105,109870,719,814,,,,2021.11.04,373120,2482,28316,341888,2916,,,,,,,,0,,
2021.11.05,123769,980,12217,110734,864,818,,,,2021.11.05,375464,2344,29291,343237,2936,,,,,,,,0,,
2021.11.06,124685,916,12221,111642,908,822,,,,2021.11.06,377712,2248,29190,345566,2956,,,,,,,,0,,
2021.11.07,125533,848,12642,112063,421,828,,,,2021.11.07,379935,2224,30167,346801,2967,,,,,,,,0,,
2021.11.08,126241,709,12994,112414,351,833,,,,2021.11.08,381694,1760,30915,347799,2980,,,,,,,,0,,
2021.11.09,126901,662,12604,113457,1043,840,,,,2021.11.09,383407,1715,29751,350658,2998,,,,,,,,0,,
2021.11.10,127874,973,12527,114503,1046,844,,,,2021.11.10,385831,2425,29879,352940,3012,,,,,,,,0,,
2021.11.11,128878,1004,12946,115077,574,855,,,,2021.11.11,388351,2520,30304,355014,3033,,,,,,,,0,,
2021.11.12,129827,949,13272,115694,617,861,,,,2021.11.12,390719,2368,31053,356615,3051,,,,,,,,0,,
2021.11.13,130831,1005,13335,116627,933,869,,,,2021.11.13,393042,2325,30406,359553,3083,,,,,,,,0,,
2021.11.14,131809,978,13858,117075,448,876,,,,2021.11.14,395460,2419,31466,360891,3103,,,,,,,,0,,
2021.11.15,132668,859,14001,117788,713,879,,,,2021.11.15,397466,2006,31517,362834,3115,,,,,,,,0,,
2021.11.16,133513,846,14057,118566,778,890,,,,2021.11.16,399591,2125,31955,364499,3137,,,,,,,,0,,
2021.11.17,134948,1436,14679,119371,805,898,,,,2021.11.17,402775,3187,33528,366089,3158,,,,,,,,0,,
2021.11.18,136376,1429,15288,120176,805,912,,,,2021.11.18,406065,3292,35300,367578,3187,,,,,,,,0,,
2021.11.19,137777,1401,16171,120680,504,926,,,,2021.11.19,409099,3034,37161,368723,3215,,,,,,,,0,,
2021.11.20,139154,1377,16298,121915,1235,941,,,,2021.11.20,412311,3212,34684,374383,3244,,,,,,,,0,,
2021.11.21,140470,1320,16919,122599,684,952,,,,2021.11.21,415425,3120,36396,375755,3274,,,,,,,,0,,
2021.11.22,141748,1278,17857,122931,332,960,,,,2021.11.22,418252,2827,38248,376706,3298,,,,,,,,0,,
2021.11.23,142913,1165,17992,123948,1017,973,,,,2021.11.23,420950,2699,39061,378561,3328,,,,,,,,0,,
2021.11.24,144647,1735,18685,124968,1020,994,,,,2021.11.24,425065,4116,41325,380377,3363,,,,,,,,0,,
2021.11.25,146406,1760,19674,125728,760,1004,,,,2021.11.25,429002,3938,43750,381851,3401,,,,,,,,0,,
2021.11.26,148147,1742,20461,126661,933,1025,,,,2021.11.26,432901,3901,45910,383551,3440,,,,,,,,0,,
2021.11.27,150035,1888,20760,128229,1568,1046,,,,2021.11.27,436968,4068,43335,390141,3492,,,,,,,,0,,
2021.11.28,151711,1676,21845,128794,565,1072,,,,2021.11.28,440896,3928,45037,392311,3548,,,,,,,,0,,
2021.11.29,153100,1393,22712,129304,510,1084,,,,2021.11.29,444200,3309,47003,393617,3580,,,,,,,,0,,
2021.11.30,154286,1186,22618,130568,1264,1100,,,,2021.11.30,447230,3032,47536,396070,3624,,,,,,,,0,,
2021.12.01,156507,2222,23527,131867,1299,1113,,,,2021.12.01,452350,5123,50368,398323,3659,,,,,,,,0,,
2021.12.02,158774,2268,24441,133197,1330,1136,,,,2021.12.02,457612,5266,53322,400585,3705,,,,,,,,0,,
2021.12.03,160873,2099,24639,135086,1889,1148,,,,2021.12.03,462555,4944,55397,403419,3739,,,,,,,,0,,
2021.12.04,163146,2273,25818,136150,1064,1178,,,,2021.12.04,467907,5352,58555,405543,3809,,,,,,,,0,,
2021.12.05,165178,2032,27347,136638,488,1193,,,,2021.12.05,473034,5128,62007,407175,3852,,,,,,,,0,,
2021.12.06,166586,1408,27834,137538,900,1214,,,,2021.12.06,477358,4325,64424,409041,3893,,,,,,,,0,,
2021.12.07,168705,2120,28838,138628,1090,1239,,,,2021.12.07,482310,4954,66995,411358,3957,,,,,,,,0,,
2021.12.08,171606,2901,30589,139754,1126,1263,,,,2021.12.08,489484,7175,71724,413740,4020,,,,,,,,0,,
2021.12.09,174396,2790,31341,141775,2021,1280,,,,2021.12.09,496584,7102,68287,424220,4077,,,,,,,,0,,
2021.12.10,177196,2800,33280,142612,837,1304,,,,2021.12.10,503606,7022,73035,426441,4130,,,,,,,,0,,
2021.12.11,180031,2835,34754,143949,1337,1328,,,,2021.12.11,510583,6977,77117,429256,4210,,,,,,,,0,,
2021.12.12,182558,2528,36271,144947,998,1340,,,,2021.12.12,512976,6689,77117,431606,4253,,,,,,,,0,,
2021.12.13,185108,2550,38113,145639,692,1356,,,,2021.12.13,523088,5817,85231,433564,4293,,,,,,,,0,,
2021.12.14,187169,2062,39511,146263,624,1395,,,,2021.12.14,528652,5567,88724,435541,4387,,,,,,,,0,,
2021.12.15,190332,3166,40772,148142,1879,1418,,,,2021.12.15,536495,7850,89746,442293,4456,,,,,,,,0,,
2021.12.16,193389,3057,43353,148598,456,1438,,,,2021.12.16,544117,7622,94629,444970,4518,,,,,,,,0,,
2021.12.17,196234,2846,43972,150801,2203,1461,,,,2021.12.17,551551,7435,98151,448809,4591,,,,,,,,0,,
2021.12.18,199028,2794,45569,151980,1179,1479,,,,2021.12.18,558864,7314,102883,451337,4644,,,,,,,,0,,
2021.12.19,201347,2320,46849,152995,1179,1503,,,,2021.12.19,565098,6236,106350,454026,4722,,,,,,,,0,,
2021.12.20,203255,1908,48246,153488,1179,1521,,,,2021.12.20,570414,5318,109512,456126,4776,,,,,,,,0,,
2021.12.21,205249,1994,48436,155276,1179,1537,,,,2021.12.21,575615,5202,111159,459628,4828,,,,,,,,0,,
2021.12.22,208048,2805,49585,156894,1179,1569,,,,2021.12.22,583065,7456,114758,463401,4906,,,,,,,,0,,
2021.12.23,210768,2720,48540,160630,1179,1598,,,,2021.12.23,589978,6919,115908,469055,5015,,,,,,,,0,,
2021.12.24,213114,2346,47411,164088,1179,1615,,,,2021.12.24,596209,6233,105417,485721,5071,,,,,,,,0,,
2021.12.25,215233,2123,48049,165521,1433,1663,,,,2021.12.25,602045,5842,106926,489943,5176,,,,,,,,0,,
2021.12.26,217150,1917,47820,167649,1433,1681,,,,2021.12.26,607463,5419,108013,494205,5245,,,,,,,,0,,
2021.12.27,218646,1496,48374,168574,925,1698,,,,2021.12.27,611670,4207,109432,496938,5300,,,,,,,,0,,
2021.12.28,219934,1290,48472,169741,925,1721,,,,2021.12.28,615532,3865,109913,500273,5346,,,,,,,,0,,
2021.12.29,221847,1915,48238,171880,925,1729,,,,2021.12.29,620938,5409,110086,505470,5382,,,,,,,,0,,
2021.12.30,223567,1722,47918,173898,925,1751,,,,2021.12.30,625967,5037,110555,509957,5455,,,,,,,,0,,
2021.12.31,225235,1670,47895,175554,925,1786,,,,2021.12.31,630838,4875,111297,513978,5563,,,,,,,,0,,
2022.01.01,226698,1464,47537,177348,925,1813,,,,2022.01.01,635253,4416,111908,517720,5625,,,,,,,,0,,
2022.01.02,227879,1183,47559,178481,925,1839,,,,2022.01.02,639083,3833,112427,520962,5694,,,,,,,,0,,
2022.01.03,228867,993,48539,178481,925,1847,,,,2022.01.03,642207,3129,115515,520962,5730,,,,,,,,0,,
2022.01.04,229801,938,47231,180705,925,1865,,,,2022.01.04,645226,3024,102402,537043,5781,,,,,,,,0,,
2022.01.05,231213,1412,45905,183420,925,1888,,,,2022.01.05,649669,4444,101837,541994,5838,,,,,,,,0,,
2022.01.06,232419,1208,45603,184918,925,1898,,,,2022.01.06,653792,4126,102441,545464,5887,,,,,,,,0,,
2022.01.07,233457,1038,44353,187191,925,1913,,,,2022.01.07,657508,3717,102088,549488,5932,,,,,,,,0,,
2022.01.08,234449,994,44443,188072,925,1934,,,,2022.01.08,661015,3510,105541,549488,5986,,,,,,,,0,,
2022.01.09,235415,966,44060,189400,925,1955,,,,2022.01.09,664391,3376,94034,564320,6037,,,,,,,,0,,
2022.01.10,236192,781,44160,190067,925,1965,,,,2022.01.10,667390,3007,94811,566508,6071,,,,,,,,0,,
2022.01.11,236946,755,43651,191317,925,1978,,,,2022.01.11,670483,3097,94609,569760,6114,,,,,,,,0,,
2022.01.12,238039,1093,44726,191317,925,1996,,,,2022.01.12,674868,4388,97283,571419,6166,,,,,,,,0,,
2022.01.13,239014,978,42659,194346,925,2009,,,,2022.01.13,679030,4167,97057,575763,6210,,,,,,,,0,,
2022.01.14,239950,939,43579,194347,925,2024,,,,2022.01.14,683566,4542,100389,576918,6259,,,,,,,,0,,
2022.01.15,240862,912,42090,196739,925,2033,,,,2022.01.15,687984,4423,101039,580664,6281,,,,,,,,0,,
2022.01.16,241784,925,42215,197525,925,2044,,,,2022.01.16,692174,4194,103197,582667,6310,,,,,,,,0,,
2022.01.17,242574,790,42525,197998,925,2051,,,,2022.01.17,696032,3859,105162,584537,6333,,,,,,,,0,,
2022.01.18,243337,763,43126,198148,925,2063,,,,2022.01.18,700102,4072,108051,585673,6378,,,,,,,,0,,
2022.01.19,244565,1231,42720,199738,925,2107,,,,2022.01.19,705902,5805,110919,588531,6452,,,,,,,,0,,
2022.01.20,245925,1362,43979,199829,925,2117,,,,2022.01.20,712503,6603,116255,589768,6480,,,,,,,,0,,
2022.01.21,247475,1552,42895,202458,925,2122,,,,2022.01.21,719269,6769,118745,594023,6501,,,,,,,,0,,
2022.01.22,249065,1591,44370,202560,925,2135,,,,2022.01.22,726274,7009,124100,595645,6529,,,,,,,,0,,
2022.01.23,250758,1694,43148,205470,925,2140,,,,2022.01.23,733902,7630,131717,595645,6540,,,,,,,,0,,
2022.01.24,252437,1679,44292,205997,925,2148,,,,2022.01.24,741413,7513,132725,602123,6565,,,,,,,,0,,
2022.01.25,254160,1724,45079,206926,925,2155,,,,2022.01.25,749979,8571,139125,604266,6588,,,,,,,,0,,
2022.01.26,257330,3178,46810,208356,1430,2164,,,,2022.01.26,762983,13012,149084,607279,6620,,,,,,,,0,,
2022.01.27,260757,3429,48974,209615,1259,2168,,,,2022.01.27,777497,14518,160103,610740,6654,,,,,,,,0,,
2022.01.28,264748,3991,51397,211182,1567,2169,,,,2022.01.28,793582,16096,172192,614712,6678,,,,,,,,0,,
2022.01.29,268947,4199,54179,212591,1409,2177,,,,2022.01.29,811122,17542,185849,618561,6712,,,,,,,,0,,
2022.01.30,273132,4185,57562,213391,800,2179,,,,2022.01.30,828637,17532,199933,621972,6732,,,,,,,,0,,
2022.01.31,277325,4193,61226,213919,528,2180,,,,2022.01.31,845709,17085,214196,624758,6755,,,,,,,,0,,
2022.02.01,281456,4131,64229,215045,528,2182,,,,2022.02.01,864042,18343,227783,629487,6772,,,,,,,,0,,
2022.02.02,285665,4209,67679,215801,756,2185,,,,2022.02.02,884310,20270,244463,633060,6787,,,,,,,,0,,
2022.02.03,290883,5218,71686,217006,1205,2191,,,,2022.02.03,907214,22907,263242,637160,6812,,,,,,,,0,,
2022.02.04,297043,6160,75826,219023,2017,2194,,,,2022.02.04,934656,27443,285775,642045,6836,,,,,,,,0,,
2022.02.05,305641,8598,82952,220490,1467,2199,,,,2022.02.05,971018,36362,315365,648795,6858,,,,,,,,0,,
2022.02.06,313462,7821,89215,222044,1554,2203,,,,2022.02.06,1009688,38691,348194,654621,6873,,,,,,,,0,,
2022.02.07,320343,6888,94136,224002,1958,2205,,,,2022.02.07,1044963,35286,376974,661103,6886,,,,,,,,0,,
2022.02.08,326253,5910,90964,233080,9078,2209,,,,2022.02.08,1081681,36719,399700,675059,6922,,,,,,,,0,,
2022.02.09,337930,11682,102058,233660,9078,2212,,,,2022.02.09,1131248,49567,404678,719627,6943,,,,,,,,0,,
2022.02.10,349805,11875,109359,238229,9078,2217,,,,2022.02.10,1185361,54122,443050,735348,6963,,,,,,,,0,,
2022.02.11,361336,11531,118679,240433,9078,2224,,,,2022.02.11,1239287,53926,477581,754694,7012,,,,,,,,0,,
2022.02.12,374534,13198,128546,243761,9078,2227,,,,2022.02.12,1294205,54941,516487,770673,7045,,,,,,,,0,,
